Image,Cars,PSNR,SSIM,BRISQUE,Brightness,Contrast,Noise
4_2_bad.jpg,51,48.67029532725208,0.9991313878288146,16.440418740247054,0,0,0.0
4_2_bad.jpg,51,48.57104688257837,0.9991317991161203,16.43312279298445,0,0,0.5
4_2_bad.jpg,51,46.45076531107409,0.9990865218260374,16.335941429551525,0,0,1.0
4_2_bad.jpg,51,43.99717422514988,0.998839111822396,15.924159065977932,0,0,1.5
4_2_bad.jpg,51,41.93866643912813,0.9969271752608276,14.247373856442522,0,0,2.0
4_2_bad.jpg,51,40.134123181502474,0.9908260459178219,11.65038489544358,0,0,2.5
4_2_bad.jpg,50,38.608067687484194,0.9809551113522611,9.127883308493296,0,0,3.0
4_2_bad.jpg,48,37.407372061909705,0.9697584051779987,7.538292930745882,0,0,3.5
4_2_bad.jpg,48,36.45221253973592,0.9584532364137103,6.319491747341516,0,0,4.0
4_2_bad.jpg,49,35.67268042946048,0.9476103346445935,5.527834088570074,0,0,4.5
4_2_bad.jpg,49,34.99502275070935,0.9369286872185789,5.039037405438393,0,0,5.0
4_2_bad.jpg,49,34.389396667608196,0.9264653415242241,4.650437711039075,0,0,5.5
4_2_bad.jpg,51,33.83034526119055,0.9160103904466989,4.500210772688064,0,0,6.0
4_2_bad.jpg,52,33.307302083875626,0.9055693211159143,4.520806909958509,0,0,6.5
4_2_bad.jpg,52,32.815140114895755,0.8952714494306384,4.6588901080831135,0,0,7.0
4_2_bad.jpg,52,32.348693266825215,0.8850552188948666,4.710991408181229,0,0,7.5
4_2_bad.jpg,52,31.905199021060845,0.8750612664614373,4.959022999611733,0,0,8.0
4_2_bad.jpg,52,31.48315391769446,0.8652385622110895,5.298888647823304,0,0,8.5
4_2_bad.jpg,52,31.077838519190223,0.8556552611657561,5.715987233790173,0,0,9.0
4_2_bad.jpg,52,30.688246830894844,0.8462616422428403,6.17924402279354,0,0,9.5
4_2_bad.jpg,51,30.312095771076475,0.8369961571414396,6.877448113864688,0,0,10.0
4_2_bad.jpg,50,29.947999890011488,0.8278943525723299,7.534544781610833,0,0,10.5
4_2_bad.jpg,51,33.94910553018289,0.9885787014493458,16.8110931039175,0,5,0.0
4_2_bad.jpg,51,33.94722322742184,0.9885820027584241,16.79459810830687,0,5,0.5
4_2_bad.jpg,51,33.85127105216385,0.9885401685418993,16.73312837735736,0,5,1.0
4_2_bad.jpg,51,33.65935574409464,0.988346080701191,16.3304309184077,0,5,1.5
4_2_bad.jpg,52,33.42194618559646,0.9870353897759745,14.567366936822708,0,5,2.0
4_2_bad.jpg,51,33.132428706611805,0.982093016006371,11.823635036785817,0,5,2.5
4_2_bad.jpg,52,32.79776707975083,0.9734247473456269,9.160188968780716,0,5,3.0
4_2_bad.jpg,51,32.45844679054409,0.9632195294470888,7.428964730302113,0,5,3.5
4_2_bad.jpg,51,32.13684836004978,0.952711927639944,6.117109270093891,0,5,4.0
4_2_bad.jpg,51,31.837463264673534,0.9425552374694772,5.2033196017193575,0,5,4.5
4_2_bad.jpg,50,31.55152930835968,0.9324893389508068,4.725196314905446,0,5,5.0
4_2_bad.jpg,50,31.277138865744366,0.9225249468043224,4.257945958064937,0,5,5.5
4_2_bad.jpg,50,31.005940512803942,0.9125158263675959,4.1138810957698695,0,5,6.0
4_2_bad.jpg,51,30.738181056576007,0.9024581085668528,4.089825582353768,0,5,6.5
4_2_bad.jpg,51,30.47333010160468,0.8925233783275631,4.172750360556591,0,5,7.0
4_2_bad.jpg,51,30.21152798813642,0.8825855830871581,4.178518188032257,0,5,7.5
4_2_bad.jpg,53,29.952160737935394,0.87281960137792,4.451070682104472,0,5,8.0
4_2_bad.jpg,53,29.69617561695912,0.8632370790505567,4.739329714251852,0,5,8.5
4_2_bad.jpg,52,29.442816912523362,0.8538476536346634,5.15829354209049,0,5,9.0
4_2_bad.jpg,53,29.190469716990293,0.844672525852043,5.680968079540747,0,5,9.5
4_2_bad.jpg,52,28.941025937514077,0.8356340022149733,6.297666533908085,0,5,10.0
4_2_bad.jpg,50,28.69217026253868,0.826734242292764,6.926654398471641,0,5,10.5
4_2_bad.jpg,52,28.251971589663924,0.9582917087343424,16.538460890587743,0,10,0.0
4_2_bad.jpg,52,28.251846536253716,0.958291687751094,16.530457867911622,0,10,0.5
4_2_bad.jpg,52,28.22440725833261,0.9582014080442854,16.435988203260052,0,10,1.0
4_2_bad.jpg,53,28.164530076932216,0.9580119959136196,16.06215657508207,0,10,1.5
4_2_bad.jpg,53,28.09401625921926,0.9573311684557707,14.314458797690207,0,10,2.0
4_2_bad.jpg,52,28.0107067008501,0.9536942049252438,11.56954014141499,0,10,2.5
4_2_bad.jpg,51,27.909973048026572,0.9464455496260525,8.789841644201914,0,10,3.0
4_2_bad.jpg,51,27.79942975050907,0.9375006440867568,6.959390709964254,0,10,3.5
4_2_bad.jpg,51,27.688481169964447,0.9280725001206108,5.572822987691637,0,10,4.0
4_2_bad.jpg,52,27.579645632791213,0.9188223000117952,4.696922443168404,0,10,4.5
4_2_bad.jpg,51,27.47177001872886,0.9095244102556469,4.236471805461605,0,10,5.0
4_2_bad.jpg,51,27.36545048660031,0.9002189807812607,3.829296539281785,0,10,5.5
4_2_bad.jpg,51,27.256153162074188,0.8907201446225614,3.6918831105431025,0,10,6.0
4_2_bad.jpg,53,27.145899733758938,0.8811608280787906,3.7299070886492416,0,10,6.5
4_2_bad.jpg,53,27.033095857044174,0.8716271212990274,3.822671078868865,0,10,7.0
4_2_bad.jpg,54,26.91890741017076,0.86204460333061,3.9547682195220375,0,10,7.5
4_2_bad.jpg,55,26.802222087374282,0.8525768977464331,4.209232318930475,0,10,8.0
4_2_bad.jpg,55,26.683603099016775,0.8432160192512166,4.490122347412324,0,10,8.5
4_2_bad.jpg,56,26.563396876906754,0.8340427932148154,4.880114953184233,0,10,9.0
4_2_bad.jpg,58,26.439787495506796,0.8250266203711065,5.428056192732782,0,10,9.5
4_2_bad.jpg,57,26.314652301014153,0.8161418193426511,6.006865033905655,0,10,10.0
4_2_bad.jpg,56,26.186437639068686,0.8074106552972841,6.680762605463855,0,10,10.5
4_2_bad.jpg,50,24.941312896733407,0.9153619282380323,14.914158211763237,0,15,0.0
4_2_bad.jpg,50,24.941434182938792,0.9153548228262143,14.910499897947801,0,15,0.5
4_2_bad.jpg,51,24.92761463692274,0.9152741268051616,14.868101080869877,0,15,1.0
4_2_bad.jpg,50,24.896401603809302,0.9151699325856384,14.51423630688575,0,15,1.5
4_2_bad.jpg,52,24.861997384581244,0.9152271449792954,12.802606601414112,0,15,2.0
4_2_bad.jpg,51,24.824041526987042,0.9129985114023382,10.13570748865638,0,15,2.5
4_2_bad.jpg,51,24.77740995353647,0.9072495287257839,7.541504358243259,0,15,3.0
4_2_bad.jpg,51,24.72402130016104,0.8996222607673203,5.893610270741618,0,15,3.5
4_2_bad.jpg,51,24.669576279607107,0.891361318247138,4.670504997799952,0,15,4.0
4_2_bad.jpg,51,24.614948641978202,0.883074802605449,3.8853605814481114,0,15,4.5
4_2_bad.jpg,52,24.560093960293734,0.874622332142245,3.590456470773205,0,15,5.0
4_2_bad.jpg,53,24.50585251321641,0.8660659493107645,3.442408371733876,0,15,5.5
4_2_bad.jpg,53,24.449754764558538,0.8572315352990161,3.3781953962822797,0,15,6.0
4_2_bad.jpg,54,24.392518408168687,0.8481860271879332,3.5166863748464436,0,15,6.5
4_2_bad.jpg,55,24.33326742427427,0.8391051489723704,3.779895142905474,0,15,7.0
4_2_bad.jpg,56,24.273131715278446,0.8298977468650458,3.9526201054411274,0,15,7.5
4_2_bad.jpg,56,24.210842941937578,0.8207180340644719,4.383368313162663,0,15,8.0
4_2_bad.jpg,58,24.146780310808097,0.8115748811081099,4.689582142314947,0,15,8.5
4_2_bad.jpg,58,24.081154823225653,0.8025481979161394,5.139915368249575,0,15,9.0
4_2_bad.jpg,58,24.01254654215834,0.7936501056202154,5.7246790107716095,0,15,9.5
4_2_bad.jpg,57,23.942631562843964,0.784871900400814,6.325868640518223,0,15,10.0
4_2_bad.jpg,57,23.869713013356595,0.7762401902264106,6.959960621343356,0,15,10.5
4_2_bad.jpg,51,22.642089356675573,0.8681950633151347,12.596906781620163,0,20,0.0
4_2_bad.jpg,51,22.642246007338038,0.8681901378542111,12.582052130176493,0,20,0.5
4_2_bad.jpg,51,22.633280674051814,0.8680928545770958,12.525799796761675,0,20,1.0
4_2_bad.jpg,51,22.612499414617794,0.8680646363737774,12.235822989298612,0,20,1.5
4_2_bad.jpg,51,22.59099414611784,0.8688519488983313,10.671337667263487,0,20,2.0
4_2_bad.jpg,51,22.568895829178388,0.8680922707733664,8.394762607607817,0,20,2.5
4_2_bad.jpg,52,22.54245136025244,0.8639561682884154,6.245396903947466,0,20,3.0
4_2_bad.jpg,52,22.511915691273828,0.8578072847916907,5.049033789149092,0,20,3.5
4_2_bad.jpg,52,22.480493012633595,0.8508300448998878,4.305953731428048,0,20,4.0
4_2_bad.jpg,51,22.44836056627439,0.8436884623567164,3.876342304066469,0,20,4.5
4_2_bad.jpg,51,22.415753758443167,0.8362140597810641,3.9587428284320083,0,20,5.0
4_2_bad.jpg,52,22.383402705981894,0.8284927904379339,4.121550913085656,0,20,5.5
4_2_bad.jpg,54,22.349479573124245,0.8203925626434989,4.34870013919371,0,20,6.0
4_2_bad.jpg,55,22.315075957844684,0.8120204893759573,4.791706927107697,0,20,6.5
4_2_bad.jpg,56,22.278856751676773,0.8034857994129198,5.22029001038365,0,20,7.0
4_2_bad.jpg,56,22.241888231869765,0.7946925099310138,5.541637455524068,0,20,7.5
4_2_bad.jpg,57,22.203112345374603,0.785859352194479,6.120551868973479,0,20,8.0
