Image,Cars,PSNR,SSIM,BRISQUE,Brightness,Contrast,Noise
2012-12-21_18_30_15_jpg.rf.823ad3e87780ff3fb214468b44e23c8c.jpg,9,44.89942820998011,0.9899631389724142,16.542073323264134,0,0,0.0
2012-12-21_18_30_15_jpg.rf.823ad3e87780ff3fb214468b44e23c8c.jpg,9,44.70981813948236,0.9899408868608277,16.53448834634011,0,0,0.5
2012-12-21_18_30_15_jpg.rf.823ad3e87780ff3fb214468b44e23c8c.jpg,10,42.36060722163036,0.9819033545446474,17.537754283940075,0,0,1.0
2012-12-21_18_30_15_jpg.rf.823ad3e87780ff3fb214468b44e23c8c.jpg,10,40.524710034941094,0.9699535823697758,23.83571947210325,0,0,1.5
2012-12-21_18_30_15_jpg.rf.823ad3e87780ff3fb214468b44e23c8c.jpg,9,39.217568991237414,0.9577559649485189,29.572412107991084,0,0,2.0
2012-12-21_18_30_15_jpg.rf.823ad3e87780ff3fb214468b44e23c8c.jpg,9,38.21866915864584,0.9459834892426365,33.98240906028613,0,0,2.5
2012-12-21_18_30_15_jpg.rf.823ad3e87780ff3fb214468b44e23c8c.jpg,10,37.407292177148925,0.9348799554553645,37.24042640180298,0,0,3.0
2012-12-21_18_30_15_jpg.rf.823ad3e87780ff3fb214468b44e23c8c.jpg,10,36.72681832915048,0.9247432040864323,39.44171499470778,0,0,3.5
2012-12-21_18_30_15_jpg.rf.823ad3e87780ff3fb214468b44e23c8c.jpg,9,36.13088834769316,0.915255555391219,41.43603154633783,0,0,4.0
2012-12-21_18_30_15_jpg.rf.823ad3e87780ff3fb214468b44e23c8c.jpg,8,35.600398836493596,0.9063524071835182,43.17220829212485,0,0,4.5
2012-12-21_18_30_15_jpg.rf.823ad3e87780ff3fb214468b44e23c8c.jpg,8,35.11994636834362,0.8980226219673271,44.681687238997,0,0,5.0
2012-12-21_18_30_15_jpg.rf.823ad3e87780ff3fb214468b44e23c8c.jpg,7,34.68241165499983,0.8901989312274062,45.91260926828417,0,0,5.5
2012-12-21_18_30_15_jpg.rf.823ad3e87780ff3fb214468b44e23c8c.jpg,7,34.274670801408774,0.8827342447437622,47.07491347859772,0,0,6.0
2012-12-21_18_30_15_jpg.rf.823ad3e87780ff3fb214468b44e23c8c.jpg,7,33.90131629597026,0.8757786837328626,48.07506879382967,0,0,6.5
2012-12-21_18_30_15_jpg.rf.823ad3e87780ff3fb214468b44e23c8c.jpg,7,33.55490451732648,0.869203116735714,48.91785838165512,0,0,7.0
2012-12-21_18_30_15_jpg.rf.823ad3e87780ff3fb214468b44e23c8c.jpg,7,33.233818527462866,0.8630527202041239,49.781442888231226,0,0,7.5
2012-12-21_18_30_15_jpg.rf.823ad3e87780ff3fb214468b44e23c8c.jpg,7,32.93884995895469,0.8572614957293528,50.56691436528999,0,0,8.0
2012-12-21_18_30_15_jpg.rf.823ad3e87780ff3fb214468b44e23c8c.jpg,8,32.66311855603212,0.8518027386735271,51.29024075801735,0,0,8.5
2012-12-21_18_30_15_jpg.rf.823ad3e87780ff3fb214468b44e23c8c.jpg,9,32.40826075965833,0.8466965844722086,52.15258881607994,0,0,9.0
2012-12-21_18_30_15_jpg.rf.823ad3e87780ff3fb214468b44e23c8c.jpg,9,32.17202084722233,0.8418315015145728,52.70188155650223,0,0,9.5
2012-12-21_18_30_15_jpg.rf.823ad3e87780ff3fb214468b44e23c8c.jpg,9,31.952654067861342,0.8372871736174342,53.36833957375583,0,0,10.0
2012-12-21_18_30_15_jpg.rf.823ad3e87780ff3fb214468b44e23c8c.jpg,9,31.749707278553014,0.8329901965879825,53.90530319538104,0,0,10.5
2012-12-21_18_30_15_jpg.rf.823ad3e87780ff3fb214468b44e23c8c.jpg,9,35.473349138987864,0.9879387835596087,16.274118082303374,0,5,0.0
2012-12-21_18_30_15_jpg.rf.823ad3e87780ff3fb214468b44e23c8c.jpg,9,35.52067704182499,0.9879843896458648,16.2156998983896,0,5,0.5
