Image,Cars,PSNR,SSIM,Brightness,Contrast,Noise
4_2_bad.jpg,51,48.67029532725208,0.9991313878288146,0,0,0.0
4_2_bad.jpg,51,48.57104688257837,0.9991317991161203,0,0,0.5
4_2_bad.jpg,51,46.45076531107409,0.9990865218260374,0,0,1.0
4_2_bad.jpg,51,43.99717422514988,0.998839111822396,0,0,1.5
4_2_bad.jpg,51,41.93866643912813,0.9969271752608276,0,0,2.0
4_2_bad.jpg,51,40.134123181502474,0.9908260459178219,0,0,2.5
4_2_bad.jpg,50,38.608067687484194,0.9809551113522611,0,0,3.0
4_2_bad.jpg,48,37.407372061909705,0.9697584051779987,0,0,3.5
4_2_bad.jpg,48,36.45221253973592,0.9584532364137103,0,0,4.0
4_2_bad.jpg,49,35.67268042946048,0.9476103346445935,0,0,4.5
4_2_bad.jpg,49,34.99502275070935,0.9369286872185789,0,0,5.0
4_2_bad.jpg,49,34.389396667608196,0.9264653415242241,0,0,5.5
4_2_bad.jpg,51,33.83034526119055,0.9160103904466989,0,0,6.0
4_2_bad.jpg,52,33.307302083875626,0.9055693211159143,0,0,6.5
4_2_bad.jpg,52,32.815140114895755,0.8952714494306384,0,0,7.0
4_2_bad.jpg,52,32.348693266825215,0.8850552188948666,0,0,7.5
4_2_bad.jpg,52,31.905199021060845,0.8750612664614373,0,0,8.0
4_2_bad.jpg,52,31.48315391769446,0.8652385622110895,0,0,8.5
4_2_bad.jpg,52,31.077838519190223,0.8556552611657561,0,0,9.0
4_2_bad.jpg,52,30.688246830894844,0.8462616422428403,0,0,9.5
4_2_bad.jpg,51,30.312095771076475,0.8369961571414396,0,0,10.0
4_2_bad.jpg,50,29.947999890011488,0.8278943525723299,0,0,10.5
4_2_bad.jpg,51,33.94910553018289,0.9885787014493458,0,5,0.0
4_2_bad.jpg,51,33.94722322742184,0.9885820027584241,0,5,0.5
4_2_bad.jpg,51,33.85127105216385,0.9885401685418993,0,5,1.0
4_2_bad.jpg,51,33.65935574409464,0.988346080701191,0,5,1.5
4_2_bad.jpg,52,33.42194618559646,0.9870353897759745,0,5,2.0
4_2_bad.jpg,51,33.132428706611805,0.982093016006371,0,5,2.5
4_2_bad.jpg,52,32.79776707975083,0.9734247473456269,0,5,3.0
4_2_bad.jpg,51,32.45844679054409,0.9632195294470888,0,5,3.5
4_2_bad.jpg,51,32.13684836004978,0.952711927639944,0,5,4.0
4_2_bad.jpg,51,31.837463264673534,0.9425552374694772,0,5,4.5
4_2_bad.jpg,50,31.55152930835968,0.9324893389508068,0,5,5.0
4_2_bad.jpg,50,31.277138865744366,0.9225249468043224,0,5,5.5
4_2_bad.jpg,50,31.005940512803942,0.9125158263675959,0,5,6.0
4_2_bad.jpg,51,30.738181056576007,0.9024581085668528,0,5,6.5
4_2_bad.jpg,51,30.47333010160468,0.8925233783275631,0,5,7.0
4_2_bad.jpg,51,30.21152798813642,0.8825855830871581,0,5,7.5
4_2_bad.jpg,53,29.952160737935394,0.87281960137792,0,5,8.0
4_2_bad.jpg,53,29.69617561695912,0.8632370790505567,0,5,8.5
4_2_bad.jpg,52,29.442816912523362,0.8538476536346634,0,5,9.0
4_2_bad.jpg,53,29.190469716990293,0.844672525852043,0,5,9.5
4_2_bad.jpg,52,28.941025937514077,0.8356340022149733,0,5,10.0
4_2_bad.jpg,50,28.69217026253868,0.826734242292764,0,5,10.5
