Image,Cars,PSNR,SSIM,Brightness,Contrast,Noise
1_2_bad.jpg,40,49.37539326432548,0.9986760508885839,0,0,0.0
1_2_bad.jpg,40,49.15850525313542,0.9986750453481562,0,0,0.5
1_2_bad.jpg,40,47.2283274602715,0.9986217318588815,0,0,1.0
1_2_bad.jpg,40,45.737209510707174,0.9981814561270062,0,0,1.5
1_2_bad.jpg,40,44.27656415781019,0.9956532775167545,0,0,2.0
1_2_bad.jpg,41,42.62474206997834,0.9891802728304571,0,0,2.5
1_2_bad.jpg,41,41.00148189968685,0.9789913508821196,0,0,3.0
1_2_bad.jpg,40,39.59989795567789,0.9665829350542183,0,0,3.5
1_2_bad.jpg,40,38.41999210643337,0.952975523492793,0,0,4.0
1_2_bad.jpg,38,37.42496360193698,0.9388065018590991,0,0,4.5
1_2_bad.jpg,38,36.57058590706025,0.9243741222279552,0,0,5.0
1_2_bad.jpg,38,35.82823655406443,0.9099695632246266,0,0,5.5
1_2_bad.jpg,38,35.17787406090502,0.8958092075567755,0,0,6.0
1_2_bad.jpg,40,34.60495353275786,0.8820944741057003,0,0,6.5
1_2_bad.jpg,41,34.09462715016826,0.8688194394478651,0,0,7.0
1_2_bad.jpg,41,33.638815869253875,0.8561808855047193,0,0,7.5
1_2_bad.jpg,41,33.22803908554463,0.8441582844378499,0,0,8.0
1_2_bad.jpg,40,32.852849563658395,0.8325801587246751,0,0,8.5
1_2_bad.jpg,41,32.50964903811347,0.8216262582509571,0,0,9.0
1_2_bad.jpg,42,32.1930989248687,0.8112291341007297,0,0,9.5
1_2_bad.jpg,43,31.900125094592227,0.8013428846205759,0,0,10.0
1_2_bad.jpg,43,31.62571158148215,0.7918820005078798,0,0,10.5
1_2_bad.jpg,40,32.898396706018836,0.9843035203813792,0,5,0.0
1_2_bad.jpg,40,32.89446357125177,0.9843047248907857,0,5,0.5
1_2_bad.jpg,40,32.83497423509861,0.9842542896147871,0,5,1.0
1_2_bad.jpg,40,32.766001958854545,0.9839151196633268,0,5,1.5
1_2_bad.jpg,40,32.67627972040417,0.9820527740860272,0,5,2.0
1_2_bad.jpg,40,32.537514382560154,0.9767958027908096,0,5,2.5
1_2_bad.jpg,40,32.344997966370045,0.9680016709908691,0,5,3.0
1_2_bad.jpg,39,32.11754682665946,0.9569355078961055,0,5,3.5
1_2_bad.jpg,38,31.87190403829906,0.9445590505555963,0,5,4.0
1_2_bad.jpg,38,31.619826580138863,0.931485250468674,0,5,4.5
1_2_bad.jpg,37,31.36693002944139,0.9179719802768721,0,5,5.0
1_2_bad.jpg,37,31.119710038670476,0.9043676704766267,0,5,5.5
1_2_bad.jpg,37,30.88033886408397,0.8908645880640873,0,5,6.0
1_2_bad.jpg,38,30.65188754991457,0.8776962374103331,0,5,6.5
1_2_bad.jpg,40,30.434549835305127,0.864867785102396,0,5,7.0
1_2_bad.jpg,41,30.228273293896542,0.8525999566086029,0,5,7.5
1_2_bad.jpg,41,30.033109574604,0.8408599929366558,0,5,8.0
1_2_bad.jpg,41,29.84834028333856,0.8295411914927864,0,5,8.5
1_2_bad.jpg,42,29.672289799205878,0.8188192492924985,0,5,9.0
1_2_bad.jpg,43,29.50421298060062,0.8085942563162398,0,5,9.5
1_2_bad.jpg,43,29.34373165485951,0.798876867731055,0,5,10.0
1_2_bad.jpg,43,29.189596521244194,0.7895729971512095,0,5,10.5
1_2_bad.jpg,41,27.10051471107338,0.942359067845424,0,10,0.0
1_2_bad.jpg,41,27.099753091621874,0.9423454738721622,0,10,0.5
1_2_bad.jpg,40,27.081240133293637,0.9422390402556252,0,10,1.0
1_2_bad.jpg,40,27.057287196781978,0.9419577849762364,0,10,1.5
1_2_bad.jpg,41,27.028065447145913,0.9407873061155223,0,10,2.0
1_2_bad.jpg,40,26.986340063271584,0.9368672719873149,0,10,2.5
1_2_bad.jpg,39,26.92856785320565,0.9296734916615893,0,10,3.0
1_2_bad.jpg,39,26.857640613939925,0.9202377597180087,0,10,3.5
1_2_bad.jpg,38,26.77798555241401,0.9094033981326076,0,10,4.0
1_2_bad.jpg,37,26.692710014499784,0.8977253610993912,0,10,4.5
1_2_bad.jpg,37,26.603118200260027,0.8854442517680615,0,10,5.0
1_2_bad.jpg,37,26.512817767620703,0.8728689463827338,0,10,5.5
1_2_bad.jpg,37,26.422669769362663,0.8602371819030271,0,10,6.0
1_2_bad.jpg,37,26.334078936375057,0.8478111987231394,0,10,6.5
1_2_bad.jpg,39,26.247534846054652,0.8356375950803406,0,10,7.0
1_2_bad.jpg,40,26.16292021880202,0.8239081254117003,0,10,7.5
1_2_bad.jpg,41,26.080997464971702,0.812658452555547,0,10,8.0
1_2_bad.jpg,43,26.002052640004205,0.801725701779388,0,10,8.5
1_2_bad.jpg,43,25.924893126248776,0.7913381298349756,0,10,9.0
1_2_bad.jpg,42,25.84971054890655,0.7814211462017134,0,10,9.5
1_2_bad.jpg,43,25.776220804573605,0.7719542185673999,0,10,10.0
1_2_bad.jpg,43,25.704775939689938,0.7628743842173944,0,10,10.5
1_2_bad.jpg,41,23.652700998549243,0.8788662773320168,0,15,0.0
1_2_bad.jpg,40,23.652297037187576,0.8788435947481248,0,15,0.5
1_2_bad.jpg,40,23.641496837478915,0.878694135520655,0,15,1.0
1_2_bad.jpg,40,23.627748923760233,0.8785167305847349,0,15,1.5
1_2_bad.jpg,40,23.613118089521066,0.8781889172344821,0,15,2.0
1_2_bad.jpg,40,23.5936068301651,0.8758074151965971,0,15,2.5
1_2_bad.jpg,41,23.566802866751544,0.8704859136935086,0,15,3.0
1_2_bad.jpg,41,23.53250303235576,0.8629057926202891,0,15,3.5
1_2_bad.jpg,41,23.492225829557952,0.8537875719917638,0,15,4.0
1_2_bad.jpg,39,23.448383802591607,0.8436450245883172,0,15,4.5
1_2_bad.jpg,39,23.401373560523915,0.8327324918514095,0,15,5.0
1_2_bad.jpg,39,23.353487959993238,0.8214209548989279,0,15,5.5
1_2_bad.jpg,40,23.305168060002686,0.8098893052986206,0,15,6.0
1_2_bad.jpg,41,23.25739687008636,0.7984193549063424,0,15,6.5
1_2_bad.jpg,41,23.210434067092205,0.7870750682857669,0,15,7.0
1_2_bad.jpg,41,23.16420218928002,0.7761188495630709,0,15,7.5
1_2_bad.jpg,41,23.119081743777112,0.765504394727766,0,15,8.0
1_2_bad.jpg,41,23.07555240016714,0.7551870935617851,0,15,8.5
1_2_bad.jpg,41,23.032715702484246,0.7453882891389676,0,15,9.0
1_2_bad.jpg,42,22.990729892467314,0.7359798119813773,0,15,9.5
1_2_bad.jpg,42,22.949230763939077,0.7269807169899726,0,15,10.0
1_2_bad.jpg,44,22.908685054894057,0.7183785926994795,0,15,10.5
1_2_bad.jpg,38,21.184330043725474,0.7999382481089787,0,20,0.0
1_2_bad.jpg,38,21.183845886426607,0.7998969818940525,0,20,0.5
1_2_bad.jpg,39,21.175969802542575,0.7996649176596542,0,20,1.0
1_2_bad.jpg,40,21.166913029584748,0.7995981343398174,0,20,1.5
1_2_bad.jpg,39,21.158937768546274,0.8001345460210759,0,20,2.0
1_2_bad.jpg,39,21.14862281877556,0.7994081274511363,0,20,2.5
1_2_bad.jpg,40,21.133499629855667,0.7960720666103343,0,20,3.0
1_2_bad.jpg,42,21.112857998720493,0.7904592160609408,0,20,3.5
1_2_bad.jpg,41,21.087265402166324,0.7830989044456638,0,20,4.0
1_2_bad.jpg,41,21.058625343515626,0.7745608804400381,0,20,4.5
1_2_bad.jpg,39,21.027225384226462,0.7651175491112489,0,20,5.0
1_2_bad.jpg,38,20.99503474346216,0.7551103394812178,0,20,5.5
1_2_bad.jpg,40,20.96239781196042,0.7447410158261777,0,20,6.0
1_2_bad.jpg,40,20.93030559240567,0.7343541985722926,0,20,6.5
1_2_bad.jpg,40,20.898811602030175,0.7240091885565993,0,20,7.0
1_2_bad.jpg,40,20.867844279056214,0.7139799292801872,0,20,7.5
1_2_bad.jpg,40,20.83772316550741,0.7042364470965715,0,20,8.0
